LEARN @ LVL,NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET,CAST s,CD s,DURRATION s,DESCR,MP,SP COST,REPLACES,Race,Gold Cost,Comment
,,,,,,,,,,,,,,,,----------------------------Magic Bolt----------------------------
1,Magic Bolt,magic_bolt,magic active,,,600,0,enemy/single,4,1,0,magic dmg power 12 - spells fail rather than miss,9,0,[]
7,Magic Bolt,magic_bolt,magic active,,,600,0,enemy/single,4,1,0,magic dmg power 15,10,480,[]
14,Magic Bolt,magic_bolt,magic active,,,600,0,enemy/single,4,1,0,magic dmg power 21,15,2200,[]
,,,,,,,,,,,,,,,,----------------------------Spellcaster Mastery----------------------------
1,Spellcaster Mastery,spellcaster_mastery,passive,,,0,0,self/single,0,0,0,"ARMOR - Robe: cast x1, mpReg x1.2; Light/Heavy/None: cast x0.5, as x0.5. WEAPON - Sword/Blunt: cast x1, mAtk x1; Bow/Dagger/None: cast x0.5, mAtk x0.5, mAcc x0.5. Auto-granted and NEVER replaced - every mage weapon/weight penalty lives here and nowhere else.",0,0,[weapon_proficiency]
,,,,,,,,,,,,,,,,----------------------------Might----------------------------
7,Forest Might,elf_cast_atk_phys,buff,,,600,0,party/single,1,1,1200,By the help of the forest: +8% PAttack,20,960,[],Elf
7,Demonic Strength,demon_cast_atk_phys,buff,,,600,0,party/single,1,1,1200,Signing a demonic contract: +8% PAttack,20,960,[],Demon
7,Blessing of Might,human_cast_atk_phys,buff,,,600,0,party/single,1,1,1200,A magical blessing that increases +8% PAttack,20,960,[],Human
,,,,,,,,,,,,,,,,----------------------------Anti-Magic----------------------------
7,Anti-Magic,anti_magic_mage,passive,,,0,0,self/single,0,0,0,+12 magic defence,0,480,[]
14,Anti-Magic,anti_magic_mage,passive,,,0,0,self/single,0,0,0,+16 magic defence and 5% chance for spells to fizzle on you,0,2200,[]
,,,,,,,,,,,,,,,,----------------------------Robe Armor Mastery----------------------------
