LEARN @ LVL,NAME,SKILL_ID,TYPE,WEAPON,RANGE,AOE,TARGET,CAST s,CD s,DURRATION s,DESCR,MP,SP COST,REPLACES,Comment
,,,,,,,,,,,,,,,----------------------------Armor Mastery----------------------------
20,Armor Mastery,armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +20, maxMP +20; Light: mpReg x1.2, pDef +20, cast x1.9, as x2 (composes to cast x0.95 / as x1 after Spellcaster Mastery)",0,3200,[mastery_robe]
25,Armor Mastery,armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +25, maxMP +20; Light: mpReg x1.2, pDef +25, cast x1.9, as x2 (composes to cast x0.95 / as x1 after Spellcaster Mastery)",0,6400,[mastery_robe]
30,Armor Mastery,armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +30, maxMP +30; Light: mpReg x1.2, pDef +30, cast x1.9, as x2 (composes to cast x0.95 / as x1 after Spellcaster Mastery)",0,12800,[mastery_robe]
35,Armor Mastery,armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +35, maxMP +30; Light: mpReg x1.2, pDef +35, cast x1.9, as x2 (composes to cast x0.95 / as x1 after Spellcaster Mastery), evasion +2",0,25000,[mastery_robe]
,,,,,,,,,,,,,,,----------------------------Anti magic----------------------------
20,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +20, mRes +5%",0,3200,[]
25,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +25, mRes +5%",0,6400,[]
30,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +30, mRes +10%",0,12800,[]
35,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +36, mRes +10%",0,25000,[]
,,,,,,,,,,,,,,,----------------------------Spell Mastery----------------------------
20,Spell Mastery,spell_mastery,Passive,sword|blunt,0,0,self/single,0,0,0,"with sword/blunt Decreses the reuse delay with 10%, mAtk +6, pAtk +4",0,3200,[weapon_mastery]
25,Spell Mastery,spell_mastery,Passive,sword|blunt,0,0,self/single,0,0,0,"with sword/blunt Decreses the reuse delay with 10%, mAtk +8, pAtk +6, mpReg +1.1, cast speed x1.05",0,6400,[weapon_mastery]
30,Spell Mastery,spell_mastery,Passive,sword|blunt,0,0,self/single,0,0,0,"with sword/blunt Decreses the reuse delay with 10%, mAtk +10, pAtk +8, mpReg +1.1, cast speed x1.05",0,12800,[weapon_mastery]
35,Spell Mastery,spell_mastery,Passive,sword|blunt,0,0,self/single,0,0,0,"with sword/blunt Decreses the reuse delay with 10%, mAtk +12, pAtk +10, mpReg +1.5,hpReg +1.1, cast speed x1.05",0,25000,[weapon_mastery]
,,,,,,,,,,,,,,,----------------------------Holy Bolt----------------------------
20,Holy Bolt,holy_strike,Magic/Dmg,,750,0,enemy/single,4,1,0,m.Atk +21,20,3200,[magic_bolt]
25,Holy Bolt,holy_strike,Magic/Dmg,,750,0,enemy/single,4,1,0,m.Atk +25,23,6400,[magic_bolt]
30,Holy Bolt,holy_strike,Magic/Dmg,,750,0,enemy/single,4,1,0,m.Atk +30,26,12800,[magic_bolt]
35,Holy Bolt,holy_strike,Magic/Dmg,,750,0,enemy/single,4,1,0,m.Atk +36,31,25000,[magic_bolt]
,,,,,,,,,,,,,,,----------------------------Heal----------------------------
20,Heal,heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 151,30,3200,[self_heal]
25,Heal,heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 195,38,6400,[]
30,Heal,heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 245,44,12800,[]
35,Heal,heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 301,52,25000,[]
,,,,,,,,,,,,,,,----------------------------Quick Heal----------------------------
20,Quick Heal,quick_heal,Magic/Heal,,600,0,target/single,2,1,0,heal with power 151,45,3200,[]
25,Quick Heal,quick_heal,Magic/Heal,,600,0,target/single,2,1,0,heal with power 195,57,6400,[]
30,Quick Heal,quick_heal,Magic/Heal,,600,0,target/single,2,1,0,heal with power 245,65,12800,[]
35,Quick Heal,quick_heal,Magic/Heal,,600,0,target/single,2,1,0,heal with power 301,67,25000,[]
,,,,,,,,,,,,,,,----------------------------Party Heal----------------------------
20,Party Heal,party_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power 121,60,3200,[]
