NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET,CAST s,CD s,DURRATION s,DESCR,Comment
,,,,,,,,,,,,==========================SINGLE===========================
,,,,,,,,,,,,--------------------------Might----------------------------
Might,cast_atk_phys,Magic/Buff,,,600,0,party/single,1,1,1200,+12% P.Atk.
Might,cast_atk_phys,Magic/Buff,,,600,0,party/single,1,1,1200,+15% P.Atk.
,,,,,,,,,,,,--------------------------Swift----------------------------
Swift,cast_spd_move,Magic/Buff,,,600,0,party/single,1,1,1200,+20 Move Speed.
Swift,cast_spd_move,Magic/Buff,,,600,0,party/single,1,1,1200,+33 Move Speed.
,,,,,,,,,,,,--------------------------Alacrity----------------------------
Alacrity,cast_spd_cast,Magic/Buff,,,600,0,party/single,1,1,1200,+15% Cast Speed.
Alacrity,cast_spd_cast,Magic/Buff,,,600,0,party/single,1,1,1200,+23% Cast Speed.
,,,,,,,,,,,,--------------------------Resolve----------------------------
Resolve,cast_interrupt,Magic/Buff,,,600,0,party/single,1,1,1200,+18% interrupt resistance.
Resolve,cast_interrupt,Magic/Buff,,,600,0,party/single,1,1,1200,+25% interrupt resistance.
,,,,,,,,,,,,--------------------------Bulwark----------------------------
Bulwark,cast_def_phys,Magic/Buff,,,600,0,party/single,1,1,1200,+12% P.Def.
,,,,,,,,,,,,--------------------------Clarity----------------------------
Clarity,cast_cc_res_mag,Magic/Buff,,,600,0,party/single,1,1,1200,20% resist to SPT debuffs
,,,,,,,,,,,,--------------------------Force----------------------------
Force,cast_atk_mag,Magic/Buff,,,600,0,party/single,1,1,1200,+25% M.Atk.
,,,,,,,,,,,,--------------------------Focus----------------------------
Focus,cast_crit_rate,Magic/Buff,,,600,0,party/single,1,1,1200,+20% critical rate.
Focus,cast_crit_rate,Magic/Buff,,,600,0,party/single,1,1,1200,+25% critical rate.
Focus,cast_crit_rate,Magic/Buff,,,600,0,party/single,1,1,1200,+30% critical rate.
,,,,,,,,,,,,--------------------------Vampirism----------------------------
Vampirism,cast_vamp,Magic/Buff,,,600,0,party/single,1,1,1200,+6% melee vampirism.
Vampirism,cast_vamp,Magic/Buff,,,600,0,party/single,1,1,1200,+7% melee vampirism.
Vampirism,cast_vamp,Magic/Buff,,,600,0,party/single,1,1,1200,+8% melee vampirism.
Vampirism,cast_vamp,Magic/Buff,,,600,0,party/single,1,1,1200,+9% melee vampirism.
,,,,,,,,,,,,--------------------------Agility----------------------------
Agility,cast_spd_eva,Magic/Buff,,,600,0,party/single,1,1,1200,+2 Evasion.
