LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,REPLACES,Comment
,,,,,,,,,,,,,,,,----------------------------Armor Mastery----------------------------
20,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,P.def +19; Light: eva +6;,0,1700,[fighter_armor_mastery]
24,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,P.def +21 and hpReg +1.1; Light: eva +8;,0,3200,[fighter_armor_mastery]
28,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,P.def +23 and hpReg +1.1; Light: eva +9;,0,6000,[fighter_armor_mastery]
32,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,P.def +28 and hpReg +1.6; Light: eva +9;,0,11000,[fighter_armor_mastery]
36,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,P.def +32 and hpReg +1.6; Light: eva +9;,0,20000,[fighter_armor_mastery]
,,,,,,,,,,,,,,,,----------------------------Two-Hand Mastery----------------------------
20,Warriors Strenght,warrior_strenght,passive,sword|blunt/2,,0,0,self/single,0,0,0,With 2h sword/blunt: acc +3; p.atk x1.2;,0,3400,[fighter_weapon_mastery]
,,,,,,,,,,,,,,,,----------------------------Two-Hand Mastery----------------------------
20,Two-Hand Mastery,warrior_weapon_mastery,passive,sword|blunt/2,,0,0,self/single,0,0,0,With 2h sword/blunt: crit dmg  +35; p.atk +13; With 2h Blunt: Allow basic attack to hit around in 150 range (max 2 targets),0,3400,[fighter_weapon_mastery]
24,Two-Hand Mastery,warrior_weapon_mastery,passive,sword|blunt/2,,0,0,self/single,0,0,0,With 2h sword/blunt: crit dmg  +48; p.atk +15; With 2h Blunt: Allow basic attack to hit around in 150 range (max 2 targets),0,6400,[fighter_weapon_mastery]
28,Two-Hand Mastery,warrior_weapon_mastery,passive,sword|blunt/2,,0,0,self/single,0,0,0,With 2h sword/blunt: crit dmg  +64; p.atk +17; With 2h Blunt: Allow basic attack to hit around in 150 range (max 3 targets),0,12000,[fighter_weapon_mastery]
32,Two-Hand Mastery,warrior_weapon_mastery,passive,sword|blunt/2,,0,0,self/single,0,0,0,With 2h sword/blunt: crit dmg  +84; p.atk +20; With 2h Blunt: Allow basic attack to hit around in 150 range (max 3 targets),0,22000,[fighter_weapon_mastery]
36,Two-Hand Mastery,warrior_weapon_mastery,passive,sword|blunt/2,,0,0,self/single,0,0,0,With 2h sword/blunt: crit dmg +106; p.atk +22; With 2h Blunt: Allow basic attack to hit around in 150 range (max 4 targets),0,40000,[fighter_weapon_mastery]
,,,,,,,,,,,,,,,,----------------------------Smash----------------------------
20,Smash,smash,physical active,sword|blunt/2,,40,0,enemy/single,1,3,0,dmg with 105 power  - can double - require 2h blunt/sword,20,3400,[strike stab shot]
24,Smash,smash,physical active,sword|blunt/2,,40,0,enemy/single,1,3,0,dmg with 143 power  - can double - require 2h blunt/sword,23,6400,[strike stab shot]
28,Smash,smash,physical active,sword|blunt/2,,40,0,enemy/single,1,3,0,dmg with 191 power  - can double - require 2h blunt/sword,25,12000,[strike stab shot]
32,Smash,smash,physical active,sword|blunt/2,,40,0,enemy/single,1,3,0,dmg with 251 power  - can double - require 2h blunt/sword,30,22000,[strike stab shot]
36,Smash,smash,physical active,sword|blunt/2,,40,0,enemy/single,1,3,0,dmg with 326 power  - can double - require 2h blunt/sword,35,40000,[strike stab shot]
,,,,,,,,,,,,,,,,----------------------------Battle Regeneration----------------------------
28,Battle Regeneration,battle_regeneration,heal,,,0,0,self/single,0.5,90,0,restores 10% of max hp,25,6000,[]
,,,,,,,,,,,,,,,,----------------------------Battle Presence----------------------------
32,Battle Presence,battle_presence,physical buff,sword|blunt/2,,0,0,self/single,0.5,300,90,increase p.Atk x1.35; acc +2; can be used only when Hp is below 60% (once used even if hp is at 100% it still works only for activation need hp  <= 0.6) and cannot be used with Battle Defence; requres 2h sword/blunt;,20,11000,[]
,,,,,,,,,,,,,,,,----------------------------Battle Defence----------------------------
36,Battle Defence,battle_defence,physical buff,,,0,0,self/single,0.5,300,90,increase p.Def x2; can be used only when Hp is below 60% (once used even if hp is at 100% it still works only for activation need hp  <= 0.6) and cannot be used with Battle Presence; ,20,20000,[]
,,,,,,,,,,,,,,,,----------------------------Battle Resilience----------------------------
36,Battle Resilience,battle_resilience,physical buff,,,0,0,self/single,0.5,150,60,"Increase resistance to Stun/Shock, Hold/Bind and Buff-Removal Attacks with 40%;",20,20000,[]
,,,,,,,,,,,,,,,,----------------------------Monster Knowlegee----------------------------
32,Monster Knowlege,monster_knowledge_active,physical buff,,,0,0,self/single,1,5,600,Increase PVE Dmg with 5%,20,11000,[], _actvie because for balance later we can add a passive to other classes as well
,,,,,,,,,,,,,,,,----------------------HP Boost----------------------
20,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +120",0,3400,[],,
28,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +200",0,12000,[],,
36,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +300",0,40000,[],,
,,,,,,,,,,,,,,,,----------------------------Overpower----------------------------
20,Overpower,overpower,passive,,,0,0,self/single,0,0,0,double rate 3% - skills marked [Double] strike for DOUBLE damage that often - scales with ATK - without this passive NO skill can double,0,3400,[]
