40,C-Grade,Archer,1100,150,1200,550,Archer,420,320,320,1150,1100
40,C-Grade,Fighter,950,120,1800,650,Archer,420,320,750,1500,950
40,C-Grade,Mage,220,1050,108,850,Archer,420,320,450,1800,1250
40,C-Grade,Tank,650,140,800,500,Archer,420,320,180,580,620
40,C-Grade,Archer,1100,150,1200,550,Fighter,520,340,260,930,890
40,C-Grade,Fighter,950,120,1800,650,Fighter,520,340,600,1200,760
40,C-Grade,Mage,220,1050,108,850,Fighter,520,340,450,1800,1250
40,C-Grade,Tank,650,140,800,500,Fighter,520,340,145,460,490
40,C-Grade,Archer,1100,150,1200,550,Mage,360,400,370,1330,1270
40,C-Grade,Fighter,950,120,1800,650,Mage,360,400,880,1760,1120
40,C-Grade,Mage,220,1050,108,850,Mage,360,400,520,2080,1440
40,C-Grade,Tank,650,140,800,500,Mage,360,400,210,670,720
40,C-Grade,Archer,1100,150,1200,550,Tank,650,380,210,750,720
40,C-Grade,Fighter,950,120,1800,650,Tank,650,380,480,960,610
40,C-Grade,Mage,220,1050,108,850,Tank,650,380,380,1520,1050
40,C-Grade,Tank,650,140,800,500,Tank,650,380,115,370,390
52,B-Grade,Archer,1850,220,2400,680,Archer,720,550,410,1650,1680
52,B-Grade,Fighter,1600,180,3200,780,Archer,720,550,1100,2200,1520
52,B-Grade,Mage,310,1950,112,1150,Archer,720,550,580,2320,1850
52,B-Grade,Tank,1050,200,1400,600,Archer,720,550,240,840,920
52,B-Grade,Archer,1850,220,2400,680,Fighter,850,580,350,1400,1420
52,B-Grade,Fighter,1600,180,3200,780,Fighter,850,580,930,1860,1280
52,B-Grade,Mage,310,1950,112,1150,Fighter,850,580,580,2320,1850
52,B-Grade,Tank,1050,200,1400,600,Fighter,850,580,205,715,780
52,B-Grade,Archer,1850,220,2400,680,Mage,610,650,480,1920,1950
52,B-Grade,Fighter,1600,180,3200,780,Mage,610,650,1300,2600,1790
52,B-Grade,Mage,310,1950,112,1150,Mage,610,650,660,2640,2110
52,B-Grade,Tank,1050,200,1400,600,Mage,610,650,280,980,1070
52,B-Grade,Archer,1850,220,2400,680,Tank,1100,620,270,1080,1100
52,B-Grade,Fighter,1600,180,3200,780,Tank,1100,620,720,1440,990
52,B-Grade,Mage,310,1950,112,1150,Tank,1100,620,490,1960,1560
52,B-Grade,Tank,1050,200,1400,600,Tank,1100,620,155,545,590
76,S-Grade,Archer,3400,380,6200,920,Archer,1250,980,580,2600,2850
76,S-Grade,Fighter,2900,310,7500,1100,Archer,1250,980,1600,3200,2250
76,S-Grade,Mage,520,3800,122,1650,Archer,1250,980,720,2880,2730
76,S-Grade,Tank,1850,340,3100,820,Archer,1250,980,310,1150,1380
76,S-Grade,Archer,3400,380,6200,920,Fighter,1550,1020,470,2110,2310
76,S-Grade,Fighter,2900,310,7500,1100,Fighter,1550,1020,1290,2580,1810
76,S-Grade,Mage,520,3800,122,1650,Fighter,1550,1020,720,2880,2730
76,S-Grade,Tank,1850,340,3100,820,Fighter,1550,1020,250,925,1110
76,S-Grade,Archer,3400,380,6200,920,Mage,1100,1200,660,2970,3250
76,S-Grade,Fighter,2900,310,7500,1100,Mage,1100,1200,1820,3640,2550
76,S-Grade,Mage,520,3800,122,1650,Mage,1100,1200,830,3320,3150
76,S-Grade,Tank,1850,340,3100,820,Mage,1100,1200,350,1300,1560
76,S-Grade,Archer,3400,380,6200,920,Tank,2050,1100,350,1570,1720
76,S-Grade,Fighter,2900,310,7500,1100,Tank,2050,1100,970,1940,1360
76,S-Grade,Mage,520,3800,122,1650,Tank,2050,1100,610,2440,2310
76,S-Grade,Tank,1850,340,3100,820,Tank,2050,1100,190,700,840
85,Vesper,Archer,5800,620,10200,1350,Archer,1850,1600,750,3750,4600
85,Vesper,Fighter,4900,510,12500,1500,Archer,1850,1600,2200,4400,3100
85,Vesper,Mage,850,6500,130,1999,Archer,1850,1600,950,3800,4180
85,Vesper,Tank,3100,580,5200,1150,Archer,1850,1600,420,1680,2100
85,Vesper,Archer,5800,620,10200,1350,Fighter,2400,1700,580,2900,3550
85,Vesper,Fighter,4900,510,12500,1500,Fighter,2400,1700,1700,3400,2390
85,Vesper,Mage,850,6500,130,1999,Fighter,2400,1700,950,3800,4180
85,Vesper,Tank,3100,580,5200,1150,Fighter,2400,1700,320,1280,1600
85,Vesper,Archer,5800,620,10200,1350,Mage,1600,2000,870,4350,5340
85,Vesper,Fighter,4900,510,12500,1500,Mage,1600,2000,2550,5100,3600
85,Vesper,Mage,850,6500,130,1999,Mage,1600,2000,1100,4400,4840
85,Vesper,Tank,3100,580,5200,1150,Mage,1600,2000,480,1920,2400
85,Vesper,Archer,5800,620,10200,1350,Tank,3200,1850,430,2150,2640
85,Vesper,Fighter,4900,510,12500,1500,Tank,3200,1850,1270,2540,1790
85,Vesper,Mage,850,6500,130,1999,Tank,3200,1850,780,3120,3430
85,Vesper,Tank,3100,580,5200,1150,Tank,3200,1850,240,960,1200
