# ==================================================================================================
# gear_sets.csv — the authored level-tier gear ladder. Updated 2026-08-07 (was 2026-07-03).
#
# WHAT CHANGED IN THIS PASS: nothing the owner authored was retuned. Every P.Def / P_ATK / M_ATK /
# M.Def / +MaxMP number below at levels 20/40/52/61/76 is byte-identical to the 2026-07-03 file.
# What was ADDED is the part that had drifted out of the doc while it shipped in code:
#   1. The F (level 1) and S (level 80) rungs, which exist in game and were missing here entirely.
#      F is AUTHORED; S is DERIVED as A x 1.60 (ItemCatalog.SGradeOverA) — one knob, not a column.
#   2. A [BUILT] / [NOT BUILT] marker in the Comment column, so the doc stops implying that the
#      whole file is live. Set bonuses ARE live now (they were "deferred" when this was written).
#   3. The attributes block rewritten to what the roll system actually does — see ATTRIBUTES below.
#      This is the one place the old file was not just incomplete but WRONG, and it needs a ruling.
#
# WHERE THE CODE IS: ItemCatalog.TieredWeapons/TieredArmor (Game.Shared/Items.cs) hold the stat
# tables; ArmorSets.TieredSets (Game.Shared/ArmorSets.cs) holds the set bonuses; AttributeCatalog
# (Game.Shared/Attributes.cs) holds the roll pools. Item ids are "<key>_t<level>", set ids
# "set_<weight>_t<level>". Every one of those is generated FROM this table — keep them in step.
#
# COLUMNS
#   GroupId/SetId  the set line. A trailing digit = a VARIANT body of that tier (521 = the second
#                  level-52 line). Blank on weapons/jewels, which are not set pieces.
#   Category       Armor | Weapon | Jewel
#   Class          Fighter | Mage | blank (shared) | "-" (jewels, worn by anyone)
#   Level          the item level = the grade band. F=1, D=20, C=40... see GRADE BANDS below.
#   SlotOrType     Heavy/Light/Robe/Shield/Gloves/Boots/Helmet, the weapon type, or the jewel slot.
#   Stat           armor -> P.Def | weapon -> P_ATK/M_ATK | jewel -> M.Def
#   SetBonus       what wearing the full 4 slots grants. "Shield: <x>" = an EXTRA on top, granted
#                  only if that set's own shield is also equipped. The shield is NEVER required to
#                  complete the set.
#   Comment        [BUILT]/[NOT BUILT] + the owner's original note.
#   +MaxMP         robes and the 61+/76+ jewels carry inherent MP.
#   attributes []  see the ATTRIBUTES block at the bottom of this file.
#
# GRADE BANDS (ItemCatalog.TierLetter / TierGrade). The level IS the grade:
#   1 = F "Ferrite" | 20 = D "Ironforge/Nightleaf/Arcanum" | 40 = C | 52 = C | 61 = B | 76 = A | 80 = S
#   A set is completed by Head + Body + Gloves + Boots (ArmorSets.DefaultSlots). The accessory line
#   (gloves/boots/helm) is SHARED across all three weights of a tier — set_acc_t<level>.
#
# STANDING RULES (owner)
#   - Set bonus is active only with all 4 of the group, plus the shield for the additional bonus.
#   - Armors roll NO attributes. Armor identity is its SET. (Revisit after a balance pass.)
# ==================================================================================================
GroupId/SetId,Category,Class,Level,SlotOrType,P_Def(armor); P_ATK/M_ATK(Weapon); MDef(Jewels),SetBonus,Comment,+MaxMP(robes),attributes []

# ---- HEAVY bodies — set family "Ironforge". The def-oriented line; these are the sets that carry
#      a shield-conditional extra. CcResist is ONE number in code (StatMods.CcResist 0.4), not the
#      per-type Sleep/Hold/Poison/Bleed split written below — the split needs a per-type mechanic.
1,Armor,Fighter,1,Heavy,115,,[BUILT] F rung; no set bonus authored
20,Armor,Fighter,20,Heavy,167,p.def x1.05; HP + 135; Shield: shield.p.def x1.1;,[BUILT]
40,Armor,Fighter,40,Heavy,240,HP + 270; Shield: p.def x1.05;,[BUILT] if shield is equiped(same set) => Shield: <bonus>;
52,Armor,Fighter,52,Heavy,270,CON +3; STR +3; Shield: shield.p.def x1.25;,[BUILT] def oriented
521,Armor,Fighter,52,Heavy,270,Speed +7; HpReg x1.05; STR +3; CON -2; DEX -1;,[BUILT] dmg oriented (set_heavy_t52_dmg); no shield extra
61,Armor,Fighter,61,Heavy,293,p.Atk x1.04; CON +2; DEX -2; CC Resist 0.4; Shield: Reflect 5% of mele basic atack dmg (like caunter to vamp);,[BUILT] def oriented
611,Armor,Fighter,61,Heavy,293,p.Atk x1.04; STR +2; CON -2; Acc +4; CC Resist 0.4;,[BUILT] dmg oriented (set_heavy_t61_dmg); Stun/Fear split folded into CcResist
76,Armor,Fighter,76,Heavy,332,STR +2; CON +2; DEX -2; HP +455; CC Resist 0.4; Shield: (p.def x1.05; m.def x1.05; shield.p.def x1.25; reflect 5%);,[BUILT]
80,Armor,Fighter,80,Heavy,531,,[BUILT] S = A x1.60 derived; set bonus NOT authored yet

# ---- SHIELDS. P.Def below is ShieldDefense. The block profile is extrapolated Wooden->Iron and is
#      tunable in Items.cs (shBlock/shReduce/shCrit/shEvaPen), not authored here:
#        BlockChance   .15 .22 .24 .26 .28 .30 .32   (F 20 40 52 61 76 S)
#        BlockReduce   .34 .37 .39 .41 .43 .45 .47
#        CritDefense   .08 .10 .11 .12 .13 .15 .16
#        EvasionPen      5   7   7   8   8   9   9
#      A shield belongs to its tier's HEAVY set id but does not count toward the 4-slot requirement.
1,Armor,Fighter,1,Shield,90,,[BUILT] raised 40->90 2026-07-31: at 40 the Mythic F shield tied the starter Wooden Shield and the whole F rarity ladder was worthless
20,Armor,Fighter,20,Shield,143,,[BUILT]
40,Armor,Fighter,40,Shield,203,,[BUILT]
52,Armor,Fighter,52,Shield,230,,[BUILT]
61,Armor,Fighter,61,Shield,256,,[BUILT]
76,Armor,Fighter,76,Shield,299,,[BUILT]
80,Armor,Fighter,80,Shield,478,,[BUILT] S derived

# ---- LIGHT bodies — set family "Nightleaf".
#      NOTE: 52 (202) is LOWER than 40 (218). That is what was authored and what ships; flagging it
#      because it makes the C body a downgrade for anyone who already has the D one. Owner's call.
1,Armor,Fighter,1,Light,86,,[BUILT] F rung
20,Armor,Fighter,20,Light,125,eva +2; MP + 92,[BUILT]
40,Armor,Fighter,40,Light,218,eva +4,[BUILT]
401,Armor,Fighter,40,Light,218,p.def x1.05,[BUILT] set_light_t40_pdef
402,Armor,Fighter,40,Light,218,m.def x1.05,[BUILT] set_light_t40_mdef
403,Armor,Fighter,40,Light,218,STR +4; CON -1,[BUILT] set_light_t40_str
52,Armor,Fighter,52,Light,202,P.atk x1.02; DEX +3; CON -2; STR -1;,[BUILT] dmg oriented
